,,,,,Fontes:
Euclides da Cunha ,,euclidense,,,
Feira de Santana,,feirense,,,
Gongogi,,gongojiense,,,
Guanambi,,guanambiense,,,
Ibicaraí ,,ibicaraiense,,,
Ilhéus ,,ilheense,,,
Ipiaú,,ipiauense,,,
Ipirá,,ipiraense,,,
Itabuna,,itabunense; grapiúna,,,
Itajuípe,,itajuipense,,,
Itambé,,itambeense,,,
Itaparica,,itaparicano,,,
Jacobina,,jacobinense,,,
Jequié,,jequieense,,,
Juazeiro,,juazeirense,,,
Lauro de Freitas,,lauro-freitense,,,
Luís Eduardo Magalhães,,luís-eduardense,,,
Mundo Novo,,mundo-novense,,,
Paramirim,,paramirinhense,,,
Paulo Afonso,,paulo-afonsino,,,
Pilão Arcado,,pilão-arcadense,,,
Porto Seguro,,porto-segurense,,,
Queimadas,,queimadense,,,
Remanso ,,remansense,,,
Ribeira do Pombal,,pombalense,,,
Salvador,*,soteropolitano; salvadorense,,,
Santa Maria da Vitória ,,santa-mariense,,,
Santo Amaro ,,santo-amarense,,,
Santo Antônio de Jesus ,,santo-antoniense,,,
Sento Sé ,,sento-seense,,,
Sobradinho ,,sobradinhense,,,
Teixeira de Freitas ,,teixeirense,,,
Teodoro Sampaio ,,teodorense,,,
Valença ,,valenciano,,,
Vitória da Conquista,,conquistense,,,
,,,,,
Ceará,,,,,
Abaiara,,abaiarense,,,
Acaraú ,,acarauense,,,
Acopiara,,acopiarense,,,
Alto Santo ,,alto-santense,,,
Apuiarés ,,apuiarense,,,
Aquiraz ,,aquiraense,,,
Aracati,,aracatiense,,,
Araripe,,araripense,,,
Araripina ,,araripinense,,,
Barbalha ,,barbalhense,,,
Baturité ,,baturiteense,,,
Beberibe ,,beberibense,,,
Camocim ,,camocinense,,,
Canindé ,,canindeense,,,
Cariré ,,carireense,,,
Cascavel,,cascavelense,,,
Catarina ,,catarinense,,,
Catunda ,,catundense,,,
Caucaia ,,caucaiense,,,
Chorozinho ,,chorozinhense,,,
Crateús ,,crateusense,,,
Crato ,,cratense,,,
Eusébio,,eusebiense,,,
Farias Brito,,farias-britense,,,
Fortaleza ,*,fortalezense,,,
Forquilha ,,forquilhense,,,
Fortim,,fortinense,,,
Frecheirinha ,,frecheirinhense,,,
Granja ,,granjense,,,
Groaíras ,,groairense,,,
Guaiúba,,guaiubense,,,
Guaramiranga ,,guaramiranguense,,,
Horizonte ,,horizontino,,,
Ibaretama ,,ibaretamense,,,
Ibiapina ,,ibiapinense,,,
Ibicuitinga ,,ibicuitinguense,,,
Icapuí ,,icapuiense,,,
Icó ,,icoense,,,
Iguatu ,,iguatuense,,,
Ipu,,ipuense,,,
Iracema ,,iracemense,,,
Itaiçaba ,,itaiçabense,,,
Itaitinga ,,itaitinguense,,,
Itapajé ,,itapajeense,,,
Itapipoca ,,itapipoquense,,,
Itarema ,,itaremense,,,
Jaguaretama ,,jaguaretamense,,,
Jaguaruana ,,jaguaruanense,,,
Jati,,jatiense,,,
Jijoca de Jericoacoara ,,jijoquense,,,
Juazeiro do Norte,,juazeirense,,,
Jucás,,jucaense,,,
Limoeiro do Norte,,norte-limoeirense; limoeirense,,,
Maracanaú,,maracanauense,,,
Maranguape ,,maranguapense,,,
Marco ,,marquense,,,
Miraíma ,,miraimense,,,
Mombaça ,,mombacense,,,
Monsenhor Tabosa ,,taboense,,,
Moraújo ,,moraujense,,,
Morrinhos ,,morrinhense,,,
Nova Russas ,,Nova-russense,,,
Pacajus ,,pacajuense,,,
Pacatuba ,,pacatubense,,,
Palhano ,,palhanense,,,
Parambu ,,parambuense,,,
Pentecoste ,,pentecostense,,,
Pereiro ,,pereirense,,,
Pindoretama ,,pindoretamense,,,
Quixadá ,,quixadaense,,,
Quixelô ,,quixeloense,,,
